Date,CADATA.negativeIncrease,CADATA.positiveIncrease
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,7
2020-3-7,0,9
2020-3-8,0,19
2020-3-9,228,26
2020-3-10,0,19
2020-3-11,226,24
2020-3-12,0,45
2020-3-13,0,0
2020-3-14,0,50
2020-3-15,0,41
2020-3-16,7065,42
2020-3-17,0,148
2020-3-18,0,128
2020-3-19,806,313
2020-3-20,1637,139
2020-3-21,825,216
2020-3-22,55,257
2020-3-23,1263,197
2020-3-24,885,369
2020-3-25,2469,253
2020-3-26,1459,651
2020-3-27,0,873
2020-3-28,3169,764
2020-3-29,0,1065
2020-3-30,0,739
2020-3-31,1223,1035
2020-4-1,0,673
2020-4-2,2037,1036
2020-4-3,790,1510
2020-4-4,77075,1325
2020-4-5,1421,1412
2020-4-6,0,898
2020-4-7,12269,1529
2020-4-8,11943,1092
2020-4-9,17884,1352
2020-4-10,200,1163
2020-4-11,7213,1143
2020-4-12,15930,1179
2020-4-13,0,554
2020-4-14,10336,990
2020-4-15,13192,1086
2020-4-16,28156,1758
2020-4-17,3868,1346
2020-4-18,6617,1435
2020-4-19,19864,1370
2020-4-20,8955,645
2020-4-21,7317,2283
2020-4-22,0,2135
2020-4-23,0,1973
2020-4-24,0,1885
2020-4-25,0,1883
2020-4-26,0,1027
2020-4-27,0,1300
2020-4-28,0,1567
2020-4-29,0,1469
2020-4-30,0,2417
2020-5-1,0,1525
2020-5-2,0,1755
2020-5-3,0,1419
2020-5-4,0,1321
2020-5-5,0,1275
2020-5-6,0,2603
2020-5-7,0,1799
2020-5-8,0,1898
2020-5-9,0,2049
2020-5-10,0,2119
2020-5-11,0,1259
2020-5-12,0,1443
2020-5-13,0,1759
2020-5-14,0,2023
2020-5-15,0,1772
2020-5-16,0,1857
2020-5-17,0,2046
2020-5-18,0,1591
2020-5-19,0,1365
2020-5-20,0,2262
2020-5-21,0,2140
2020-5-22,0,2247
2020-5-23,0,2187
2020-5-24,0,2079
2020-5-25,0,1848
