Date,TNDATA.Death,TNDATA.DeathConfirmed
2020-3-5,1,0
2020-3-6,1,0
2020-3-7,1,0
2020-3-8,3,0
2020-3-9,3,0
2020-3-10,7,0
2020-3-11,7,0
2020-3-12,18,0
2020-3-13,26,0
2020-3-14,32,0
2020-3-15,39,0
2020-3-16,52,0
2020-3-17,73,0
2020-3-18,98,0
2020-3-19,154,0
2020-3-20,228,0
2020-3-21,371,0
2020-3-22,505,0
2020-3-23,615,0
2020-3-24,667,0
2020-3-25,784,0
2020-3-26,957,0
2020-3-27,1203,0
2020-3-28,1373,0
2020-3-29,1537,0
2020-3-30,1834,0
2020-3-31,2239,0
2020-4-1,2683,0
2020-4-2,2845,0
2020-4-3,3067,0
2020-4-4,3321,0
2020-4-5,3633,0
2020-4-6,3802,0
2020-4-7,4138,0
2020-4-8,4362,0
2020-4-9,4634,0
2020-4-10,4862,0
2020-4-11,5114,0
2020-4-12,5308,0
2020-4-13,5610,0
2020-4-14,5823,0
2020-4-15,6079,0
2020-4-16,6262,0
2020-4-17,6589,0
2020-4-18,6762,0
2020-4-19,7070,0
2020-4-20,7238,0
2020-4-21,7394,0
2020-4-22,7842,0
2020-4-23,8266,0
2020-4-24,8726,0
2020-4-25,9189,0
2020-4-26,9667,0
2020-4-27,9918,0
2020-4-28,10052,0
2020-4-29,10366,0
2020-4-30,10735,0
2020-5-1,11891,0
2020-5-2,12661,0
2020-5-3,13177,0
2020-5-4,13571,0
2020-5-5,13690,0
2020-5-6,13938,0
2020-5-7,14096,0
2020-5-8,14441,0
2020-5-9,14768,0
2020-5-10,14985,0
2020-5-11,15544,0
2020-5-12,16111,0
2020-5-13,16370,0
2020-5-14,16699,0
2020-5-15,16970,0
2020-5-16,17288,0
2020-5-17,17388,0
2020-5-18,18011,0
2020-5-19,18378,0
2020-5-20,18532,0
2020-5-21,18961,0
2020-5-22,19394,0
2020-5-23,19789,0
2020-5-24,20145,0
2020-5-25,20607,0
2020-5-26,20965,0
2020-5-27,21306,0
2020-5-28,21679,0
2020-5-29,22085,0
2020-5-30,22566,0
2020-5-31,23006,0
2020-6-1,23554,0
2020-6-2,24375,0
2020-6-3,24822,0
2020-6-4,25120,0
2020-6-5,25520,0
2020-6-6,26071,0
2020-6-7,26381,0
2020-6-8,26944,0
2020-6-9,27575,0
2020-6-10,28061,0
2020-6-11,28538,0
2020-6-12,29126,0
2020-6-13,29541,0
2020-6-14,30432,0
2020-6-15,31160,0
2020-6-16,31830,0
2020-6-17,32143,0
2020-6-18,32829,0
2020-6-19,34017,0
2020-6-20,34446,0
2020-6-21,35102,0
2020-6-22,35553,0
2020-6-23,36303,0
2020-6-24,37235,0
2020-6-25,38034,0
2020-6-26,39444,0
2020-6-27,40172,0
2020-6-28,40172,0
2020-6-29,42297,0
2020-6-30,43509,0
2020-7-1,45315,0
2020-7-2,46890,0
2020-7-3,48712,0
2020-7-4,50140,0
2020-7-5,51431,0
2020-7-6,52155,0
2020-7-7,53514,0
2020-7-8,55986,0
2020-7-9,57591,0
2020-7-10,59546,0
2020-7-11,61006,0
2020-7-12,61960,0
2020-7-13,65274,0
2020-7-14,66788,0
2020-7-15,69061,0
2020-7-16,71540,0
2020-7-17,73819,0
2020-7-18,76336,0
2020-7-19,78115,0
2020-7-20,79754,0
2020-7-21,81944,0
2020-7-22,84417,0
2020-7-23,86987,0
2020-7-24,89078,0
2020-7-25,90796,0
2020-7-26,93936,0
2020-7-27,96489,0
2020-7-28,99044,0
2020-7-29,100822,0
2020-7-30,102871,0
2020-7-31,105959,0
2020-8-1,108184,0
2020-8-2,109627,0
2020-8-3,110636,0
2020-8-4,112441,0
2020-8-5,114098,0
2020-8-6,116350,0
2020-8-7,118782,0
2020-8-8,120585,0
2020-8-9,122712,0
2020-8-10,123914,0
2020-8-11,124915,0
2020-8-12,126393,0
2020-8-13,128511,0
2020-8-14,130458,0
2020-8-15,131747,0
2020-8-16,133708,0
2020-8-17,134744,0
2020-8-18,135778,0
2020-8-19,137800,0
2020-8-20,139175,0
2020-8-21,140844,0
2020-8-22,142083,0
2020-8-23,143937,0
2020-8-24,144604,0
