Date,WVDATA.positive,WVDATA.recovered
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,1,0
2020-3-19,2,0
2020-3-20,7,0
2020-3-21,11,0
2020-3-22,12,0
2020-3-23,16,0
2020-3-24,20,0
2020-3-25,39,0
2020-3-26,51,0
2020-3-27,76,0
2020-3-28,96,0
2020-3-29,113,0
2020-3-30,126,0
2020-3-31,162,0
2020-4-1,191,0
2020-4-2,217,0
2020-4-3,237,0
2020-4-4,282,0
2020-4-5,324,0
2020-4-6,345,0
2020-4-7,412,0
2020-4-8,462,0
2020-4-9,523,0
2020-4-10,554,63
2020-4-11,577,63
2020-4-12,611,83
2020-4-13,626,85
2020-4-14,640,147
2020-4-15,702,211
2020-4-16,739,223
2020-4-17,754,223
2020-4-18,785,255
2020-4-19,863,265
2020-4-20,902,290
2020-4-21,914,330
2020-4-22,939,330
2020-4-23,967,380
2020-4-24,988,439
2020-4-25,1020,439
2020-4-26,1044,455
2020-4-27,1063,455
2020-4-28,1079,481
2020-4-29,1095,504
2020-4-30,1118,545
2020-5-1,1136,555
2020-5-2,1169,572
2020-5-3,1191,611
2020-5-4,1206,611
2020-5-5,1238,630
2020-5-6,1248,716
2020-5-7,1287,716
2020-5-8,1310,761
2020-5-9,1335,761
2020-5-10,1360,775
2020-5-11,1366,775
2020-5-12,1371,803
2020-5-13,1398,813
2020-5-14,1427,870
2020-5-15,1441,870
2020-5-16,1457,889
2020-5-17,1490,919
2020-5-18,1491,919
2020-5-19,1509,922
2020-5-20,1545,950
2020-5-21,1593,983
2020-5-22,1616,983
2020-5-23,1717,1110
2020-5-24,1759,1121
2020-5-25,1774,1135
2020-5-26,1854,1180
2020-5-27,1867,1191
2020-5-28,1906,1211
2020-5-29,1951,1241
2020-5-30,1974,1290
2020-5-31,2010,1303
2020-6-1,2017,1313
2020-6-2,2041,1341
2020-6-3,2071,1381
2020-6-4,2092,1399
2020-6-5,2119,1445
